Competition ID,Personal,Theme,Disc_ID,User_ID,Created At time,Created At Year,Created At Month,Created At Day_of_month
GeneralDiscussion,1,,ID_0BK7TH,ID_AAGFVLHH,19:48:26.862175,1,12,27
GeneralDiscussion,1,,ID_ZFJ9J7,ID_0AJGQILU,09:37:52.039526,1,12,20
GeneralDiscussion,1,,ID_ME45XX,ID_U90KK6KL,17:50:33.894800,1,2,9
ID_45W9,1,,ID_2BG9IX,ID_U90KK6KL,07:57:55.178845,1,2,10
GeneralDiscussion,1,,ID_251XVV,ID_F7HIGFHQ,19:56:13.041893,1,12,27
ID_I9BN,0,,ID_I1N4XA,ID_QXI37KW6,18:20:26.568254,1,2,29
GeneralDiscussion,1,,ID_B3RVDQ,ID_QXI37KW6,00:30:29.783050,1,3,15
GeneralDiscussion,1,,ID_CIU523,ID_QXI37KW6,01:46:27.612805,1,3,15
GeneralDiscussion,1,,ID_84L6U3,ID_CEDNKSVV,05:40:35.086345,1,2,9
ID_56O8,0,3.0,ID_9OM3J1,ID_CEDNKSVV,23:08:28.053523,1,2,13
ID_56O8,1,,ID_1LSLW7,ID_CEDNKSVV,07:06:12.169921,1,2,18
ID_KU2G,1,,ID_5DIDRK,ID_CEDNKSVV,17:55:02.333957,1,3,29
ID_HCN1,0,1.0,ID_ONQEAR,ID_CEDNKSVV,22:36:22.543584,1,5,9
ID_64EM,0,1.0,ID_3XKIOF,ID_CEDNKSVV,13:23:28.763053,1,1,3
GeneralDiscussion,1,,ID_M89JSB,ID_CEDNKSVV,18:38:44.100793,1,2,8
GeneralDiscussion,1,,ID_WM200F,ID_CEDNKSVV,18:50:45.319101,1,5,21
GeneralDiscussion,1,,ID_76RQ0S,ID_CEDNKSVV,01:33:59.487090,1,2,16
GeneralDiscussion,1,,ID_4KH8OR,ID_CEDNKSVV,14:17:29.263011,1,3,29
GeneralDiscussion,1,,ID_E486XJ,ID_CEDNKSVV,17:54:31.265634,1,12,19
ID_GR92,0,4.0,ID_JFPPYO,ID_CEDNKSVV,01:50:18.523584,1,1,3
ID_GR92,0,4.0,ID_TV9UIV,ID_CEDNKSVV,00:12:04.209496,1,1,3
GeneralDiscussion,1,,ID_3Z6AZI,ID_CEDNKSVV,04:20:33.569274,1,2,9
GeneralDiscussion,1,,ID_1ZE594,ID_CEDNKSVV,04:23:11.949158,1,2,9
GeneralDiscussion,1,,ID_LLPKVB,ID_CEDNKSVV,22:24:44.320109,1,2,9
GeneralDiscussion,1,,ID_GSTC7F,ID_CEDNKSVV,14:43:26.173657,1,2,9
GeneralDiscussion,1,,ID_9C1E1T,ID_CEDNKSVV,15:29:16.391943,1,2,9
GeneralDiscussion,1,,ID_MZYCFF,ID_CEDNKSVV,17:29:34.015522,1,5,10
ID_56O8,0,1.0,ID_AXOSKY,ID_CEDNKSVV,16:16:40.333317,1,2,17
GeneralDiscussion,1,,ID_GB522P,ID_CEDNKSVV,14:33:38.306855,1,3,1
ID_I9BN,0,4.0,ID_E0NHSS,ID_CEDNKSVV,16:02:43.788440,1,12,23
ID_I9BN,0,1.0,ID_OIGXGK,ID_CEDNKSVV,18:51:04.182685,1,12,19
ID_I9BN,0,4.0,ID_441BAB,ID_CEDNKSVV,05:09:45.654428,1,12,23
GeneralDiscussion,1,,ID_WUMIYN,ID_CEDNKSVV,11:15:01.933357,1,2,31
GeneralDiscussion,1,,ID_3BAUHP,ID_L2NJMFNG,20:25:11.204001,1,12,27
ID_I9BN,1,,ID_4VK22L,ID_QMANSX9S,05:56:23.794376,1,2,21
GeneralDiscussion,1,,ID_PGDNKC,ID_HV77C51U,22:49:39.027702,1,2,31
GeneralDiscussion,1,,ID_YIEKM3,ID_O1LBVDH8,16:01:24.634990,1,1,3
GeneralDiscussion,1,,ID_CXH4NK,ID_TYBEWVMK,13:29:35.793235,1,2,29
GeneralDiscussion,1,,ID_31S9U5,ID_GPXBD1BG,06:04:11.094345,1,1,14
GeneralDiscussion,1,,ID_D8ZEBX,ID_8PYX9ZJH,03:57:40.315902,1,4,3
GeneralDiscussion,1,,ID_6UQNIP,ID_FU9487VT,15:55:37.184387,1,2,20
GeneralDiscussion,1,,ID_EY2BJG,ID_FU9487VT,15:46:02.756378,1,2,20
ID_IMTG,1,,ID_9HZTC6,ID_C1C7WUYP,03:24:48.543004,1,5,18
ID_IMTG,0,,ID_RMY9S4,ID_20SB8DIP,03:29:27.390499,1,5,18
GeneralDiscussion,1,,ID_ROC2IB,ID_20SB8DIP,18:48:45.820431,1,5,17
GeneralDiscussion,1,,ID_QEAGYD,ID_4KNC0WJL,04:53:20.593903,1,12,17
GeneralDiscussion,1,,ID_ZJ2WNY,ID_4KNC0WJL,04:48:18.723879,1,12,17
GeneralDiscussion,1,,ID_QRKHUJ,ID_4KNC0WJL,04:54:25.197713,1,12,17
GeneralDiscussion,1,,ID_CBSUYH,ID_4KNC0WJL,04:33:47.536192,1,12,26
GeneralDiscussion,1,,ID_XNO997,ID_JNZQMMX0,05:57:02.164837,1,1,14
ID_528W,0,5.0,ID_183IIQ,ID_JNZQMMX0,06:04:46.506030,1,1,14
ID_528W,0,,ID_K9ACNT,ID_JNZQMMX0,16:30:54.806741,1,2,5
ID_528W,0,5.0,ID_GUZ7T8,ID_JNZQMMX0,17:11:14.782633,1,12,31
GeneralDiscussion,1,,ID_GTBPYV,ID_FI30XPFH,07:02:26.706182,1,4,6
ID_WZ0H,0,1.0,ID_A4R9P4,ID_6M3A5PP2,10:49:34.206887,1,5,21
ID_XZ71,0,3.0,ID_XBATJ0,ID_6M3A5PP2,08:08:03.241635,1,5,27
GeneralDiscussion,1,5.0,ID_5FHD5D,ID_6FWILK4H,10:45:18.693431,1,3,13
GeneralDiscussion,1,,ID_QLANGU,ID_6FWILK4H,19:25:35.506824,1,4,25
GeneralDiscussion,1,,ID_JFHLQR,ID_6FWILK4H,00:18:37.516847,1,5,19
GeneralDiscussion,1,,ID_XCT714,ID_6FWILK4H,13:08:34.525571,1,4,25
GeneralDiscussion,1,,ID_76J586,ID_6FWILK4H,07:35:45.401208,1,5,23
GeneralDiscussion,1,,ID_S0SSTB,ID_6FWILK4H,13:31:03.212560,1,4,20
GeneralDiscussion,1,,ID_TXSZYK,ID_6FWILK4H,19:22:20.596043,1,4,25
ID_0D02,0,1.0,ID_EBYJ2P,ID_6FWILK4H,19:26:36.167068,1,4,25
GeneralDiscussion,1,,ID_X5W8F1,ID_6FWILK4H,13:25:40.253757,1,4,20
GeneralDiscussion,1,,ID_SINLMP,ID_71N5GY8Z,21:03:54.989556,1,4,23
GeneralDiscussion,1,,ID_HINXCM,ID_60OMC77A,21:24:38.271009,1,4,23
ID_Y1UE,0,,ID_1XT1VZ,ID_60OMC77A,21:27:23.164465,1,4,23
GeneralDiscussion,1,,ID_6G4DMN,ID_1ED1DG8J,22:25:27.649710,1,4,23
GeneralDiscussion,1,,ID_TXDFSX,ID_T7W2OC30,05:45:55.667619,1,3,2
GeneralDiscussion,1,,ID_UTIAN9,ID_T7W2OC30,05:47:29.694804,1,3,2
ID_5NAE,0,,ID_U97SPH,ID_XSRYED3X,21:39:08.787572,1,3,29
ID_GAV9,1,,ID_6T2L31,ID_PK7CD9XY,19:31:53.058588,1,2,25
GeneralDiscussion,1,,ID_Z30DSQ,ID_DBBCEV5Y,09:14:40.964195,1,2,8
ID_I9BN,0,,ID_V8EYV6,ID_DBBCEV5Y,21:22:33.145372,1,2,7
GeneralDiscussion,1,,ID_TI5F41,ID_J5IMTVWB,03:51:12.759021,1,5,18
ID_45W9,0,,ID_1EP04B,ID_2NNESLKY,09:23:04.937397,1,2,8
GeneralDiscussion,1,,ID_0I53HG,ID_KD6IFTVY,22:30:44.265752,1,4,23
GeneralDiscussion,1,,ID_W3JJX5,ID_GYXBSL1P,18:09:08.659357,1,2,29
GeneralDiscussion,1,,ID_WJO0TQ,ID_GYXBSL1P,13:42:09.472287,1,3,1
ID_GAV9,0,5.0,ID_6C425R,ID_GYXBSL1P,14:01:41.206182,1,2,29
ID_GAV9,1,,ID_JI8LSQ,ID_GYXBSL1P,14:12:03.081414,1,3,1
GeneralDiscussion,1,,ID_MN46HN,ID_5RENLVCS,10:27:53.881313,1,12,28
ID_I9BN,1,,ID_DK2VV3,ID_L9ELDRMB,06:11:15.327132,1,1,14
GeneralDiscussion,1,,ID_JSUNBQ,ID_WR6VK06G,10:54:01.489955,1,12,28
ID_GAV9,1,,ID_0DQXQS,ID_YWRFZICE,22:04:03.565502,1,3,1
GeneralDiscussion,1,,ID_R4A04Y,ID_TBH4HI38,11:09:31.333212,1,12,28
ID_528W,0,,ID_6R98NA,ID_ZELO1E3N,13:17:31.956448,1,1,1
GeneralDiscussion,1,,ID_9R3LOV,ID_ZELO1E3N,20:59:40.263617,1,2,2
GeneralDiscussion,1,,ID_PZ6MG8,ID_VF9G3ML6,20:52:42.503249,1,1,8
GeneralDiscussion,1,,ID_ZTJFH1,ID_VF9G3ML6,10:29:07.312394,1,1,8
GeneralDiscussion,1,,ID_17RQNZ,ID_VF9G3ML6,06:02:24.955349,1,1,13
ID_528W,0,,ID_J4CUCU,ID_VF9G3ML6,10:32:47.356771,1,1,8
GeneralDiscussion,1,,ID_OJ7HDX,ID_VF9G3ML6,19:57:21.937716,1,4,1
GeneralDiscussion,1,,ID_B2JQIX,ID_VF9G3ML6,20:54:01.603470,1,1,8
GeneralDiscussion,1,,ID_2VJEAH,ID_VF9G3ML6,06:06:17.182560,1,1,13
GeneralDiscussion,1,,ID_KLMLWJ,ID_VF9G3ML6,06:00:13.366132,1,1,13
GeneralDiscussion,1,,ID_FJDX75,ID_CMVSRHXW,19:51:47.513193,1,3,5
GeneralDiscussion,0,,ID_6JQHDC,ID_CMVSRHXW,16:20:16.064929,1,3,5
GeneralDiscussion,1,,ID_51U548,ID_RLGUU3M6,16:04:04.195807,1,5,4
ID_PDKH,1,,ID_UPSD6I,ID_G23UREIF,09:30:25.093232,1,12,2
GeneralDiscussion,1,,ID_HEACUG,ID_G23UREIF,16:55:38.279193,1,2,17
ID_I9BN,1,,ID_OQ1LI4,ID_G23UREIF,20:06:18.148701,1,12,21
ID_20XL,1,,ID_TQLY3U,ID_G23UREIF,06:04:13.939672,1,1,18
ID_JRC2,1,,ID_VUWACS,ID_G23UREIF,19:34:00.969387,1,2,22
ID_J883,1,,ID_ARJKTD,ID_G23UREIF,07:03:02.179913,1,2,30
GeneralDiscussion,1,,ID_NUJNCZ,ID_G23UREIF,17:06:12.239815,1,12,1
ID_GR92,1,,ID_W7M84I,ID_G23UREIF,18:20:43.387168,1,1,2
GeneralDiscussion,1,,ID_QDSRJJ,ID_75E0EBLB,14:25:22.043404,1,1,6
GeneralDiscussion,1,,ID_IT5MBO,ID_P1TMAJQT,12:24:50.328094,1,12,28
ID_JRC2,0,3.0,ID_TG515R,ID_XFNWMR7F,09:49:54.860790,1,2,12
ID_XZ71,1,,ID_2GH1LQ,ID_J3O9NNMF,16:32:00.261798,1,5,24
GeneralDiscussion,1,,ID_YZXO06,ID_2P6U2AFY,12:53:53.847303,1,12,28
GeneralDiscussion,1,,ID_WPPGMR,ID_6B49ZLAB,20:41:13.952475,1,12,27
GeneralDiscussion,1,,ID_WMQVAK,ID_FDVZK203,16:26:15.619428,1,1,3
ID_528W,0,,ID_BDZ090,ID_FDVZK203,19:55:38.862530,1,12,29
ID_61E9,0,,ID_YLYS9M,ID_9XP3I118,12:27:05.532697,1,3,18
GeneralDiscussion,1,,ID_L7V958,ID_KCYBFH9S,12:21:01.434911,1,3,18
GeneralDiscussion,1,,ID_EI1P9L,ID_BC2HP4VR,12:20:01.401729,1,3,18
GeneralDiscussion,0,5.0,ID_Z6GQFI,ID_2WNF14QT,06:12:53.150632,1,11,29
GeneralDiscussion,1,,ID_RRG2ZW,ID_EL3PZK3L,19:35:58.362050,1,2,22
GeneralDiscussion,0,,ID_PFMJ78,ID_EL3PZK3L,05:28:46.528022,1,3,1
ID_D242,0,,ID_QAVVG8,ID_29Z4T75G,20:45:33.084061,1,12,27
GeneralDiscussion,1,,ID_4Y7TCJ,ID_29Z4T75G,20:47:01.905520,1,12,27
GeneralDiscussion,1,,ID_01SMVG,ID_D5NWRCVT,23:43:59.140447,1,3,29
GeneralDiscussion,1,,ID_03CQEX,ID_OKMQ09PE,00:40:48.545390,1,5,20
GeneralDiscussion,1,,ID_NFCFFE,ID_XYUF9G9Y,20:55:59.358020,1,12,27
ID_528W,0,5.0,ID_X5PLV5,ID_XYUF9G9Y,13:51:16.636884,1,1,4
ID_IMTG,1,,ID_4EOHS3,ID_V908PL8F,09:00:43.315608,1,5,15
GeneralDiscussion,1,,ID_FCDE13,ID_OJ2T55DP,17:43:43.578646,1,12,26
GeneralDiscussion,1,,ID_SG2982,ID_IZKM51CR,10:32:48.717444,1,2,8
GeneralDiscussion,1,,ID_RZ914Q,ID_HQQIME4Z,21:10:46.314235,1,3,5
GeneralDiscussion,1,,ID_9UTJGF,ID_A2E3YUMT,10:45:31.132188,1,2,24
ID_JRC2,1,,ID_W4JRYV,ID_A2E3YUMT,05:25:46.283243,1,2,25
ID_GAV9,1,,ID_3CB3DF,ID_TS9IQQ4E,19:49:39.146960,1,3,5
GeneralDiscussion,1,,ID_YYE9HT,ID_1U71QOB5,19:13:05.792535,1,2,30
GeneralDiscussion,1,,ID_5AO6T6,ID_1U71QOB5,08:15:19.662732,1,3,2
ID_GAV9,1,,ID_SVL07X,ID_FMFMJP22,20:20:14.302717,1,3,5
GeneralDiscussion,1,,ID_1AG4J0,ID_2C47291G,21:19:02.292148,1,2,30
ID_OXOJ,1,,ID_0KU1R1,ID_NF319G7N,13:57:25.926749,1,1,23
ID_I9BN,0,3.0,ID_P39SLI,ID_OF9XQTH5,13:18:44.746841,1,2,24
GeneralDiscussion,1,,ID_NPW5S1,ID_OF9XQTH5,13:27:44.519552,1,2,7
GeneralDiscussion,1,,ID_XQJDXY,ID_OF9XQTH5,18:39:14.486043,1,2,10
ID_GAV9,1,,ID_0H7J9U,ID_B37R0MSO,20:45:40.213958,1,3,5
ID_GAV9,0,1.0,ID_CJA2KP,ID_B37R0MSO,10:42:17.755367,1,3,6
GeneralDiscussion,1,,ID_9VQ1RB,ID_B37R0MSO,14:30:59.535510,1,3,7
ID_GAV9,1,,ID_BW1CQ1,ID_QK4XCRQL,20:42:32.528714,1,3,5
ID_GAV9,0,1.0,ID_SH4587,ID_QK4XCRQL,22:04:42.837115,1,3,5
GeneralDiscussion,1,,ID_QEY4ET,ID_1VVSQKN3,20:57:45.813144,1,3,5
GeneralDiscussion,1,,ID_K6BSAY,ID_PZ45LTO0,06:09:18.007330,1,2,18
GeneralDiscussion,1,,ID_AK9OGJ,ID_QLZ29ASJ,08:56:56.694448,1,2,4
ID_XZ71,0,3.0,ID_HOPPHQ,ID_8VZRG8K7,14:32:29.132882,1,5,22
GeneralDiscussion,1,,ID_U1OHOL,ID_V2GS7TDW,15:57:41.659584,1,2,27
GeneralDiscussion,1,,ID_T5LABY,ID_SIOFYC8D,16:20:15.142277,1,2,27
GeneralDiscussion,1,,ID_VB15P9,ID_PROILWVY,09:35:46.128355,1,2,4
GeneralDiscussion,1,,ID_QXNGA7,ID_PROILWVY,09:32:37.260406,1,2,4
ID_528W,0,1.0,ID_IRT1AX,ID_PROILWVY,07:25:20.962819,1,1,11
GeneralDiscussion,1,,ID_BSF539,ID_577E83AB,16:12:52.249479,1,2,27
GeneralDiscussion,0,1.0,ID_LZ60XN,ID_297OIO5Y,21:15:29.263830,1,5,7
ID_45W9,0,5.0,ID_II3Q1V,ID_BX0P4P60,13:14:36.299966,1,2,8
GeneralDiscussion,1,,ID_CF91KE,ID_GAPM2OTK,08:10:17.886166,1,2,21
GeneralDiscussion,1,,ID_CBFTEI,ID_IAK3FLIY,06:24:30.893401,1,2,21
ID_JRC2,0,5.0,ID_FBR53Q,ID_IAK3FLIY,17:43:38.888976,1,3,13
GeneralDiscussion,1,,ID_D7TQXK,ID_IAK3FLIY,08:16:23.299528,1,2,21
GeneralDiscussion,1,,ID_I9YAQW,ID_RI3YI4QN,16:31:14.549941,1,2,27
ID_F7QD,0,,ID_TCKE4B,ID_RI3YI4QN,18:10:10.238831,1,3,20
GeneralDiscussion,1,,ID_J8OJ8K,ID_IK3XCGLB,16:34:36.945838,1,2,27
GeneralDiscussion,1,,ID_DMY7VR,ID_KEX6J71Q,10:03:10.717145,1,5,15
ID_IMTG,1,,ID_8S6459,ID_KEX6J71Q,10:27:40.780715,1,5,15
GeneralDiscussion,1,,ID_AVSYYZ,ID_VN7N4O5E,16:15:46.043416,1,2,27
GeneralDiscussion,1,,ID_REZI0Q,ID_CSORSACW,08:31:33.134044,1,3,2
GeneralDiscussion,1,,ID_84PK2K,ID_XDOK0UKN,16:24:14.976401,1,2,27
GeneralDiscussion,1,,ID_AEKE3C,ID_8ZVYXPUR,21:00:37.859737,1,3,5
ID_GAV9,1,,ID_HMFEFV,ID_8ZVYXPUR,10:28:07.001141,1,3,5
GeneralDiscussion,1,,ID_DEQ5ID,ID_D96RNL1K,22:30:12.640876,1,12,31
GeneralDiscussion,1,,ID_T7T197,ID_D96RNL1K,10:30:31.637980,1,12,28
ID_GAV9,0,1.0,ID_MUW0UJ,ID_2IO5391U,12:02:37.164533,1,3,16
GeneralDiscussion,1,,ID_BZKYQY,ID_KCFTLTIF,16:31:13.385920,1,5,26
GeneralDiscussion,1,,ID_81BX8M,ID_02MW81ND,13:52:00.920944,1,1,19
GeneralDiscussion,1,,ID_U36MFT,ID_8UP3EG1J,10:15:23.229130,1,12,20
GeneralDiscussion,1,,ID_70S9PM,ID_NVKEJ1JN,10:26:08.027864,1,5,15
GeneralDiscussion,1,,ID_IR4GH0,ID_Q6EP5QJT,08:53:10.151833,1,4,26
GeneralDiscussion,1,,ID_4GESO6,ID_Z71GBXXN,09:07:00.550046,1,11,29
GeneralDiscussion,1,,ID_NPYJMG,ID_03CFOV9J,18:26:42.294607,1,3,1
GeneralDiscussion,1,,ID_WOT4ER,ID_03CFOV9J,05:27:55.660960,1,3,2
ID_GAV9,1,,ID_S36B2L,ID_03CFOV9J,16:35:50.983102,1,3,2
GeneralDiscussion,1,,ID_P60BSF,ID_03CFOV9J,15:46:00.695438,1,2,31
GeneralDiscussion,1,,ID_MSPTM2,ID_03CFOV9J,00:50:57.847578,1,2,30
GeneralDiscussion,1,,ID_2F2K5U,ID_03CFOV9J,18:28:30.596510,1,3,1
GeneralDiscussion,1,,ID_TUN0K2,ID_B76RMF3F,21:44:15.596901,1,2,29
ID_CFN7,1,,ID_YQL51Y,ID_VKP1HAZ1,16:29:23.234868,1,5,25
GeneralDiscussion,1,,ID_DA3RTQ,ID_976UY1FK,07:43:16.393440,1,5,18
GeneralDiscussion,1,,ID_MTYLRO,ID_LNGIKNNN,09:20:54.312580,1,3,2
ID_GAV9,0,5.0,ID_T0GRKL,ID_LNGIKNNN,17:09:47.844897,1,3,1
GeneralDiscussion,1,,ID_F41DUA,ID_LNGIKNNN,18:18:26.727561,1,2,29
ID_GAV9,1,,ID_SD6JSU,ID_LNGIKNNN,09:08:48.409481,1,3,5
ID_GAV9,0,5.0,ID_WAY87W,ID_LNGIKNNN,10:20:58.058392,1,3,3
ID_GAV9,0,5.0,ID_Z2WFUJ,ID_LNGIKNNN,14:21:59.114545,1,2,26
GeneralDiscussion,1,,ID_ZO1BQL,ID_LNGIKNNN,18:10:02.011408,1,2,29
GeneralDiscussion,1,,ID_YJBO99,ID_LNGIKNNN,18:13:19.959616,1,2,29
ID_GAV9,0,5.0,ID_JXMORG,ID_LNGIKNNN,17:49:21.736658,1,2,28
ID_GAV9,0,1.0,ID_IS8ELG,ID_LNGIKNNN,17:49:06.874766,1,3,5
ID_IMTG,1,,ID_X3RK2C,ID_W9BBUBJ8,10:17:01.659178,1,5,15
GeneralDiscussion,1,,ID_HMJQZF,ID_LU9CRF87,04:43:19.555450,1,1,1
ID_528W,0,1.0,ID_HEYWKB,ID_LU9CRF87,11:33:34.489521,1,1,14
ID_GAV9,1,,ID_YT1NPU,ID_POM5I0WV,19:48:59.113034,1,3,5
GeneralDiscussion,1,,ID_89GUTJ,ID_880HK3AO,12:23:40.267683,1,3,18
GeneralDiscussion,1,,ID_RPO7CK,ID_CD13540Y,16:59:39.354783,1,2,25
ID_GAV9,0,,ID_IAT0VX,ID_SUQ6QT9Y,21:20:37.868271,1,3,5
GeneralDiscussion,1,,ID_2LXZ2J,ID_J8I4RM2Y,09:16:45.541447,1,1,24
GeneralDiscussion,1,,ID_FTZ7TY,ID_ZXK5J6NG,22:48:00.967514,1,11,21
GeneralDiscussion,1,,ID_L9E36C,ID_CN1J1KDR,11:38:59.959324,1,12,20
GeneralDiscussion,1,,ID_YILHPS,ID_CQ23EV8G,13:53:57.041811,1,12,28
ID_528W,0,5.0,ID_6BX7O9,ID_CQ23EV8G,09:41:17.652965,1,1,29
GeneralDiscussion,1,,ID_5QY1ZC,ID_SDV9Q3E9,20:55:02.536090,1,1,8
GeneralDiscussion,1,,ID_H6YDX8,ID_G8MVM42E,14:17:21.903347,1,12,28
GeneralDiscussion,1,,ID_UKA4SO,ID_G8MVM42E,14:15:45.368771,1,12,28
GeneralDiscussion,1,,ID_Y49WES,ID_695FGT57,14:00:57.935065,1,12,28
GeneralDiscussion,1,,ID_CZWVHQ,ID_3YX1PGJ1,13:59:05.776718,1,12,28
GeneralDiscussion,1,,ID_RHRW1H,ID_3YX1PGJ1,07:51:07.833695,1,12,29
GeneralDiscussion,1,,ID_XBI78A,ID_WEGQL44H,10:01:02.768377,1,3,2
ID_GAV9,1,,ID_POA92T,ID_WEGQL44H,10:19:22.220707,1,3,2
GeneralDiscussion,1,,ID_YV3A5E,ID_OEBTE0TB,12:36:46.502006,1,5,12
GeneralDiscussion,1,,ID_PWKRIO,ID_E9PKCTOS,08:10:11.107579,1,5,18
GeneralDiscussion,1,,ID_G4QRHG,ID_M0E0KKGG,10:20:43.915924,1,3,2
ID_528W,0,,ID_3WGSKL,ID_YVGPS54D,14:34:00.929801,1,1,9
GeneralDiscussion,1,,ID_2T74M3,ID_YVGPS54D,10:48:10.389546,1,1,9
GeneralDiscussion,1,,ID_CK4L63,ID_8L1NMBKY,11:16:38.552817,1,1,14
GeneralDiscussion,1,,ID_SJV7RJ,ID_B73U9DYD,09:37:41.091250,1,12,28
ID_20XL,0,3.0,ID_X5EACW,ID_BR6WUG14,13:46:35.817547,1,1,7
ID_528W,0,,ID_6K64JY,ID_UPB47BLL,13:48:18.506083,1,1,7
ID_IMTG,1,,ID_BY9NIX,ID_L3FTTCQ0,10:31:15.753717,1,5,15
GeneralDiscussion,1,,ID_YC36K9,ID_EU62HA1Q,04:25:58.431488,1,1,3
GeneralDiscussion,1,,ID_ZP146Q,ID_MIJHOOWM,18:58:15.376752,1,11,24
ID_PDKH,1,,ID_XJD6LF,ID_MIJHOOWM,09:17:36.734351,1,12,17
ID_IMTG,1,,ID_HGCA3F,ID_AIKPG4D4,08:41:57.047604,1,5,18
ID_IMTG,0,3.0,ID_AZGU5X,ID_AIKPG4D4,01:56:47.851681,1,5,19
GeneralDiscussion,1,,ID_P4CDUV,ID_AIKPG4D4,08:38:42.093986,1,5,23
GeneralDiscussion,1,,ID_CG0IHS,ID_AIKPG4D4,08:46:33.268117,1,5,23
